Country,DialingCode,CountryDialingCode
Mexico,+52,52
Brazil,+55,55
India,+91,91
Germany,+49,49
Australia,+61,61
France,+33,33
Canada,+1,1
Japan,+81,81
USA,+1,1
Spain,+34,34
Italy,+39,39
Russia,+7,7
Argentina,+54,54
Sweden,+46,46
Singapore,+65,65
SouthKorea,+82,82
Switzerland,+41,41
Netherlands,+31,31
Denmark,+45,45
Norway,+47,47
Finland,+358,358
Belgium,+32,32
Austria,+43,43
Portugal,+351,351
NewZealand,+64,64
Ireland,+353,353
Malaysia,+60,60
Chile,+56,56
SaudiArabia,+966,966
Israel,+972,972
Colombia,+57,57
Poland,+48,48
Thailand,+66,66
Hungary,+36,36
Egypt,+20,20
Turkey,+90,90
Indonesia,+62,62
Philippines,+63,63
Vietnam,+84,84
Ukraine,+380,380
Nigeria,+234,234
Pakistan,+92,92
Bangladesh,+880,880
SouthAfrica,+27,27
Kenya,+254,254
Ghana,+233,233
